happensAt(52899, 0).
happensAt(26356, 1).
happensAt(9361, 2).
happensAt(43076, 3).
happensAt(47105, 4).
happensAt(6851, 5).
happensAt(58907, 6).
happensAt(51729, 7).
happensAt(52233, 8).
happensAt(5676, 9).
happensAt(20293, 10).
happensAt(48102, 11).
happensAt(29233, 12).
happensAt(37283, 13).
happensAt(19832, 14).
happensAt(56618, 15).
happensAt(17344, 16).
happensAt(16823, 17).
happensAt(54069, 18).
happensAt(28550, 19).
happensAt(18261, 20).
happensAt(40964, 21).
happensAt(5288, 22).
happensAt(34514, 23).
happensAt(34053, 24).
happensAt(6591, 25).
happensAt(27084, 26).
happensAt(48688, 27).
happensAt(10787, 28).
happensAt(26780, 29).
happensAt(47166, 30).
happensAt(57795, 31).
happensAt(54800, 32).
happensAt(58808, 33).
happensAt(31831, 34).
happensAt(40350, 35).
happensAt(59999, 36).
happensAt(40790, 37).
happensAt(13314, 38).
happensAt(58821, 39).
happensAt(26161, 40).
happensAt(23636, 41).
happensAt(1331, 42).
happensAt(18853, 43).
happensAt(14541, 44).
happensAt(47740, 45).
happensAt(12863, 46).
happensAt(38915, 47).
happensAt(3457, 48).
happensAt(1105, 49).
happensAt(36414, 50).
happensAt(2375, 51).
happensAt(4475, 52).
happensAt(45660, 53).
happensAt(20902, 54).
happensAt(23516, 55).
happensAt(40801, 56).
happensAt(40069, 57).
happensAt(26346, 58).
happensAt(47316, 59).
happensAt(21524, 60).
happensAt(57180, 61).
happensAt(26981, 62).
happensAt(32265, 63).
happensAt(12292, 64).
happensAt(37145, 65).
happensAt(56045, 66).
happensAt(39298, 67).
happensAt(21640, 68).
happensAt(54660, 69).
happensAt(27361, 70).
happensAt(28252, 71).
happensAt(26963, 72).
happensAt(51620, 73).
happensAt(31658, 74).
happensAt(25346, 75).
happensAt(24911, 76).
happensAt(51709, 77).
happensAt(59784, 78).
happensAt(54962, 79).
happensAt(44751, 80).
happensAt(745, 81).
happensAt(2126, 82).
happensAt(27051, 83).
happensAt(51938, 84).
happensAt(39499, 85).
happensAt(4212, 86).
happensAt(33417, 87).
happensAt(46404, 88).
happensAt(4595, 89).
happensAt(55841, 90).
happensAt(26709, 91).
happensAt(11123, 92).
happensAt(58940, 93).
happensAt(18728, 94).
happensAt(2189, 95).
happensAt(10983, 96).
happensAt(30669, 97).
happensAt(15118, 98).
happensAt(29834, 99).
happensAt(2572, 100).
happensAt(46056, 101).
happensAt(5217, 102).
happensAt(2903, 103).
happensAt(27883, 104).
happensAt(46293, 105).
happensAt(11523, 106).
happensAt(55969, 107).
happensAt(50285, 108).
