happensAt(18029, 0).
happensAt(15321, 1).
happensAt(37057, 2).
happensAt(26684, 3).
happensAt(55696, 4).
happensAt(37794, 5).
happensAt(54476, 6).
happensAt(44811, 7).
happensAt(37897, 8).
happensAt(3313, 9).
happensAt(37740, 10).
happensAt(27206, 11).
happensAt(21948, 12).
happensAt(25870, 13).
happensAt(7442, 14).
happensAt(29118, 15).
happensAt(2873, 16).
happensAt(42852, 17).
happensAt(43936, 18).
happensAt(55176, 19).
happensAt(55367, 20).
happensAt(14472, 21).
happensAt(9508, 22).
happensAt(12890, 23).
happensAt(8442, 24).
happensAt(42557, 25).
happensAt(29908, 26).
happensAt(47615, 27).
happensAt(58325, 28).
happensAt(51185, 29).
happensAt(23415, 30).
happensAt(19479, 31).
happensAt(59372, 32).
happensAt(45933, 33).
happensAt(10541, 34).
happensAt(25487, 35).
happensAt(21136, 36).
happensAt(46011, 37).
happensAt(19664, 38).
happensAt(16574, 39).
happensAt(38994, 40).
happensAt(19006, 41).
happensAt(33003, 42).
happensAt(57511, 43).
happensAt(27210, 44).
happensAt(23254, 45).
happensAt(45778, 46).
happensAt(8216, 47).
happensAt(27203, 48).
happensAt(58391, 49).
happensAt(34361, 50).
happensAt(20561, 51).
happensAt(58265, 52).
happensAt(58763, 53).
happensAt(33041, 54).
happensAt(24866, 55).
happensAt(48680, 56).
happensAt(46253, 57).
happensAt(56214, 58).
happensAt(4404, 59).
happensAt(31517, 60).
happensAt(17916, 61).
happensAt(6412, 62).
happensAt(15777, 63).
happensAt(58317, 64).
happensAt(2922, 65).
happensAt(24777, 66).
happensAt(20241, 67).
happensAt(42574, 68).
happensAt(22440, 69).
happensAt(38491, 70).
happensAt(48533, 71).
happensAt(43680, 72).
happensAt(2917, 73).
happensAt(17698, 74).
happensAt(21951, 75).
happensAt(47154, 76).
happensAt(49441, 77).
happensAt(25150, 78).
happensAt(11591, 79).
happensAt(18552, 80).
happensAt(56954, 81).
happensAt(49259, 82).
happensAt(47601, 83).
happensAt(19199, 84).
happensAt(43697, 85).
happensAt(27797, 86).
happensAt(11459, 87).
happensAt(23864, 88).
happensAt(42640, 89).
happensAt(4686, 90).
happensAt(56746, 91).
happensAt(17342, 92).
happensAt(31317, 93).
happensAt(827, 94).
happensAt(50518, 95).
happensAt(32180, 96).
happensAt(28330, 97).
happensAt(8699, 98).
happensAt(30455, 99).
happensAt(17789, 100).
happensAt(36584, 101).
happensAt(23895, 102).
happensAt(47423, 103).
happensAt(54529, 104).
happensAt(1535, 105).
happensAt(53432, 106).
happensAt(8019, 107).
happensAt(59720, 108).
happensAt(55413, 109).
happensAt(193, 110).
happensAt(34655, 111).
happensAt(39663, 112).
happensAt(23167, 113).
happensAt(17465, 114).
happensAt(45214, 115).
happensAt(26971, 116).
happensAt(346, 117).
happensAt(48286, 118).
happensAt(2735, 119).
happensAt(56021, 120).
happensAt(34672, 121).
happensAt(11772, 122).
happensAt(22645, 123).
happensAt(11296, 124).
happensAt(9626, 125).
happensAt(32446, 126).
happensAt(59813, 127).
happensAt(926, 128).
happensAt(22764, 129).
happensAt(37118, 130).
happensAt(4788, 131).
happensAt(44418, 132).
happensAt(31302, 133).
happensAt(20566, 134).
happensAt(34600, 135).
happensAt(36694, 136).
happensAt(42704, 137).
happensAt(49639, 138).
happensAt(44424, 139).
happensAt(6646, 140).
happensAt(38744, 141).
happensAt(29530, 142).
happensAt(40990, 143).
happensAt(57131, 144).
happensAt(58887, 145).
happensAt(44907, 146).
happensAt(39339, 147).
happensAt(8603, 148).
happensAt(27946, 149).
happensAt(32994, 150).
happensAt(1195, 151).
happensAt(39203, 152).
happensAt(12979, 153).
happensAt(56466, 154).
happensAt(43181, 155).
happensAt(26543, 156).
happensAt(50427, 157).
happensAt(28510, 158).
happensAt(29776, 159).
happensAt(35320, 160).
happensAt(42250, 161).
happensAt(31348, 162).
happensAt(59948, 163).
happensAt(43115, 164).
happensAt(32103, 165).
happensAt(50688, 166).
happensAt(47750, 167).
happensAt(168, 168).
happensAt(32782, 169).
happensAt(49060, 170).
happensAt(56594, 171).
happensAt(28020, 172).
happensAt(59318, 173).
happensAt(1573, 174).
happensAt(18844, 175).
happensAt(45125, 176).
happensAt(31718, 177).
happensAt(9308, 178).
happensAt(35775, 179).
happensAt(57368, 180).
happensAt(37475, 181).
happensAt(55697, 182).
happensAt(10216, 183).
happensAt(38660, 184).
